Name,Estimated MY PSUs Granted in Fiscal 2022at Base Compensation Plan Performance (#),Value of Estimated MY PSUs Granted in Fiscal 2022 at Base Compensation Plan Performance,Actual MY PSUs Granted in Fiscal 2022 Eligible to Vest (#),Value of Actual MY PSUs Granted in Fiscal 2022 Eligible to Vest ($)
Jen-Hsun Huang,"70,040","42,746,112","105,060","64,119,169"
Colette M. Kress,,,"6,160","3,759,510"
Ajay K. Puri,"2,940","1,794,311","5,880","3,588,623"
Debora Shoquist,"2,416","1,474,509","4,832","2,949,018"
Timothy S. Teter,,"1,474,509","4,832","2,949,018"
